"priority_section","schema_name","table_name","column_name","data_type_category","formatted_data_type","overall_column_score","overall_quality_level","pii_risk_assessment","governance_priority","potential_pii_indicator","business_criticality","immediate_actions","recommended_improvements","steward_assignment"
=== TOP PRIORITY COLUMNS - IMMEDIATE ATTENTION REQUIRED ===,Person,Password,PasswordHash,TEXT,varchar(128),52.75,POOR,CRITICAL_RISK,URGENT,AUTHENTICATION_SECURITY,HIGH,"URGENT: Implement encryption, restrict access, enable audit logging","Add constraints (NOT NULL, CHECK, FK) to improve data quality",CUSTOMER_DATA_STEWARD
=== TOP PRIORITY COLUMNS - IMMEDIATE ATTENTION REQUIRED ===,Person,Password,PasswordSalt,TEXT,varchar(10),52.75,POOR,CRITICAL_RISK,URGENT,AUTHENTICATION_SECURITY,HIGH,"URGENT: Implement encryption, restrict access, enable audit logging","Add constraints (NOT NULL, CHECK, FK) to improve data quality",CUSTOMER_DATA_STEWARD
=== TOP PRIORITY COLUMNS - IMMEDIATE ATTENTION REQUIRED ===,Production,Culture,Name,OTHER,Name,53.00,POOR,HIGH_RISK,URGENT,PERSONAL_NAME,MEDIUM,"HIGH PRIORITY: Apply data masking, implement access controls",Consider reviewing data type choice for better alignment with data content,OPERATIONS_DATA_STEWARD
=== TOP PRIORITY COLUMNS - IMMEDIATE ATTENTION REQUIRED ===,Production,ProductCategory,Name,OTHER,Name,53.00,POOR,HIGH_RISK,URGENT,PERSONAL_NAME,MEDIUM,"HIGH PRIORITY: Apply data masking, implement access controls",Consider reviewing data type choice for better alignment with data content,OPERATIONS_DATA_STEWARD
=== TOP PRIORITY COLUMNS - IMMEDIATE ATTENTION REQUIRED ===,Production,ProductModel,Name,OTHER,Name,53.00,POOR,HIGH_RISK,URGENT,PERSONAL_NAME,MEDIUM,"HIGH PRIORITY: Apply data masking, implement access controls",Consider reviewing data type choice for better alignment with data content,OPERATIONS_DATA_STEWARD
=== TOP PRIORITY COLUMNS - IMMEDIATE ATTENTION REQUIRED ===,Production,ProductSubcategory,Name,OTHER,Name,53.00,POOR,HIGH_RISK,URGENT,PERSONAL_NAME,MEDIUM,"HIGH PRIORITY: Apply data masking, implement access controls",Consider reviewing data type choice for better alignment with data content,OPERATIONS_DATA_STEWARD
=== TOP PRIORITY COLUMNS - IMMEDIATE ATTENTION REQUIRED ===,Production,ScrapReason,Name,OTHER,Name,53.00,POOR,HIGH_RISK,URGENT,PERSONAL_NAME,MEDIUM,"HIGH PRIORITY: Apply data masking, implement access controls",Consider reviewing data type choice for better alignment with data content,OPERATIONS_DATA_STEWARD
=== TOP PRIORITY COLUMNS - IMMEDIATE ATTENTION REQUIRED ===,Production,UnitMeasure,Name,OTHER,Name,53.00,POOR,HIGH_RISK,URGENT,PERSONAL_NAME,MEDIUM,"HIGH PRIORITY: Apply data masking, implement access controls",Consider reviewing data type choice for better alignment with data content,OPERATIONS_DATA_STEWARD
=== TOP PRIORITY COLUMNS - IMMEDIATE ATTENTION REQUIRED ===,Person,Person,NameStyle,OTHER,NameStyle,53.25,POOR,HIGH_RISK,URGENT,PERSONAL_NAME,HIGH,"HIGH PRIORITY: Apply data masking, implement access controls",Consider reviewing data type choice for better alignment with data content,CUSTOMER_DATA_STEWARD
=== TOP PRIORITY COLUMNS - IMMEDIATE ATTENTION REQUIRED ===,Person,Person,FirstName,OTHER,Name,53.25,POOR,HIGH_RISK,URGENT,PERSONAL_NAME,HIGH,"HIGH PRIORITY: Apply data masking, implement access controls",Consider reviewing data type choice for better alignment with data content,CUSTOMER_DATA_STEWARD
=== TOP PRIORITY COLUMNS - IMMEDIATE ATTENTION REQUIRED ===,Person,Person,LastName,OTHER,Name,53.25,POOR,HIGH_RISK,URGENT,PERSONAL_NAME,HIGH,"HIGH PRIORITY: Apply data masking, implement access controls",Consider reviewing data type choice for better alignment with data content,CUSTOMER_DATA_STEWARD
=== TOP PRIORITY COLUMNS - IMMEDIATE ATTENTION REQUIRED ===,Purchasing,ShipMethod,Name,OTHER,Name,54.00,POOR,HIGH_RISK,URGENT,PERSONAL_NAME,MEDIUM,"HIGH PRIORITY: Apply data masking, implement access controls",Consider reviewing data type choice for better alignment with data content,PRIVACY_OFFICER
=== TOP PRIORITY COLUMNS - IMMEDIATE ATTENTION REQUIRED ===,HumanResources,Department,Name,OTHER,Name,54.50,POOR,HIGH_RISK,URGENT,PERSONAL_NAME,HIGH,"HIGH PRIORITY: Apply data masking, implement access controls",Consider reviewing data type choice for better alignment with data content,HR_DATA_STEWARD
=== TOP PRIORITY COLUMNS - IMMEDIATE ATTENTION REQUIRED ===,HumanResources,Shift,Name,OTHER,Name,54.50,POOR,HIGH_RISK,URGENT,PERSONAL_NAME,HIGH,"HIGH PRIORITY: Apply data masking, implement access controls",Consider reviewing data type choice for better alignment with data content,HR_DATA_STEWARD
=== TOP PRIORITY COLUMNS - IMMEDIATE ATTENTION REQUIRED ===,Person,AddressType,Name,OTHER,Name,54.50,POOR,HIGH_RISK,URGENT,PERSONAL_NAME,HIGH,"HIGH PRIORITY: Apply data masking, implement access controls",Consider reviewing data type choice for better alignment with data content,CUSTOMER_DATA_STEWARD
=== TOP PRIORITY COLUMNS - IMMEDIATE ATTENTION REQUIRED ===,Person,ContactType,Name,OTHER,Name,54.50,POOR,HIGH_RISK,URGENT,PERSONAL_NAME,HIGH,"HIGH PRIORITY: Apply data masking, implement access controls",Consider reviewing data type choice for better alignment with data content,CUSTOMER_DATA_STEWARD
=== TOP PRIORITY COLUMNS - IMMEDIATE ATTENTION REQUIRED ===,Person,CountryRegion,Name,OTHER,Name,54.50,POOR,HIGH_RISK,URGENT,PERSONAL_NAME,HIGH,"HIGH PRIORITY: Apply data masking, implement access controls",Consider reviewing data type choice for better alignment with data content,CUSTOMER_DATA_STEWARD
=== TOP PRIORITY COLUMNS - IMMEDIATE ATTENTION REQUIRED ===,Person,StateProvince,Name,OTHER,Name,54.50,POOR,HIGH_RISK,URGENT,PERSONAL_NAME,HIGH,"HIGH PRIORITY: Apply data masking, implement access controls",Consider reviewing data type choice for better alignment with data content,CUSTOMER_DATA_STEWARD
=== TOP PRIORITY COLUMNS - IMMEDIATE ATTENTION REQUIRED ===,Person,Person,EmailPromotion,INTEGER,int,55.00,POOR,HIGH_RISK,URGENT,CONTACT_INFO,HIGH,"HIGH PRIORITY: Apply data masking, implement access controls","Add constraints (NOT NULL, CHECK, FK) to improve data quality",CUSTOMER_DATA_STEWARD
=== TOP PRIORITY COLUMNS - IMMEDIATE ATTENTION REQUIRED ===,Production,Location,Name,OTHER,Name,55.50,POOR,HIGH_RISK,URGENT,PERSONAL_NAME,MEDIUM,"HIGH PRIORITY: Apply data masking, implement access controls",Consider reviewing data type choice for better alignment with data content,OPERATIONS_DATA_STEWARD
=== TOP PRIORITY COLUMNS - IMMEDIATE ATTENTION REQUIRED ===,Production,Product,Name,OTHER,Name,55.50,POOR,HIGH_RISK,URGENT,PERSONAL_NAME,MEDIUM,"HIGH PRIORITY: Apply data masking, implement access controls",Consider reviewing data type choice for better alignment with data content,OPERATIONS_DATA_STEWARD
=== TOP PRIORITY COLUMNS - IMMEDIATE ATTENTION REQUIRED ===,Sales,Currency,Name,OTHER,Name,56.00,POOR,HIGH_RISK,URGENT,PERSONAL_NAME,HIGH,"HIGH PRIORITY: Apply data masking, implement access controls",Consider reviewing data type choice for better alignment with data content,SALES_DATA_STEWARD
=== TOP PRIORITY COLUMNS - IMMEDIATE ATTENTION REQUIRED ===,Production,ProductReview,EmailAddress,TEXT,nvarchar(100),57.50,POOR,HIGH_RISK,URGENT,CONTACT_INFO,MEDIUM,"HIGH PRIORITY: Apply data masking, implement access controls","Add constraints (NOT NULL, CHECK, FK) to improve data quality",OPERATIONS_DATA_STEWARD
=== TOP PRIORITY COLUMNS - IMMEDIATE ATTENTION REQUIRED ===,Person,EmailAddress,EmailAddress,TEXT,nvarchar(100),57.75,POOR,HIGH_RISK,URGENT,CONTACT_INFO,HIGH,"HIGH PRIORITY: Apply data masking, implement access controls","Add constraints (NOT NULL, CHECK, FK) to improve data quality",CUSTOMER_DATA_STEWARD
=== TOP PRIORITY COLUMNS - IMMEDIATE ATTENTION REQUIRED ===,Sales,SalesTerritory,Name,OTHER,Name,58.50,POOR,HIGH_RISK,URGENT,PERSONAL_NAME,HIGH,"HIGH PRIORITY: Apply data masking, implement access controls",Consider reviewing data type choice for better alignment with data content,SALES_DATA_STEWARD
=== TOP PRIORITY COLUMNS - IMMEDIATE ATTENTION REQUIRED ===,Sales,SalesOrderHeader,CreditCardApprovalCode,TEXT,varchar(15),59.25,POOR,CRITICAL_RISK,URGENT,FINANCIAL_DATA,HIGH,"URGENT: Implement encryption, restrict access, enable audit logging","Add constraints (NOT NULL, CHECK, FK) to improve data quality",SALES_DATA_STEWARD
=== TOP PRIORITY COLUMNS - IMMEDIATE ATTENTION REQUIRED ===,Person,Address,AddressLine2,TEXT,nvarchar(120),61.50,FAIR,HIGH_RISK,URGENT,ADDRESS_INFO,HIGH,"HIGH PRIORITY: Apply data masking, implement access controls","Add constraints (NOT NULL, CHECK, FK) to improve data quality",CUSTOMER_DATA_STEWARD
=== TOP PRIORITY COLUMNS - IMMEDIATE ATTENTION REQUIRED ===,Production,ProductPhoto,ThumbnailPhotoFileName,TEXT,nvarchar(100),62.50,FAIR,HIGH_RISK,URGENT,PERSONAL_NAME,MEDIUM,"HIGH PRIORITY: Apply data masking, implement access controls","Add constraints (NOT NULL, CHECK, FK) to improve data quality",OPERATIONS_DATA_STEWARD
=== TOP PRIORITY COLUMNS - IMMEDIATE ATTENTION REQUIRED ===,Production,ProductPhoto,LargePhotoFileName,TEXT,nvarchar(100),62.50,FAIR,HIGH_RISK,URGENT,PERSONAL_NAME,MEDIUM,"HIGH PRIORITY: Apply data masking, implement access controls","Add constraints (NOT NULL, CHECK, FK) to improve data quality",OPERATIONS_DATA_STEWARD
=== TOP PRIORITY COLUMNS - IMMEDIATE ATTENTION REQUIRED ===,Person,Address,AddressLine1,TEXT,nvarchar(120),62.75,FAIR,HIGH_RISK,URGENT,ADDRESS_INFO,HIGH,"HIGH PRIORITY: Apply data masking, implement access controls","Add constraints (NOT NULL, CHECK, FK) to improve data quality",CUSTOMER_DATA_STEWARD
=== TOP PRIORITY COLUMNS - IMMEDIATE ATTENTION REQUIRED ===,HumanResources,Employee,BirthDate,TEMPORAL,date,67.25,FAIR,HIGH_RISK,URGENT,DEMOGRAPHIC_DATA,HIGH,"HIGH PRIORITY: Apply data masking, implement access controls","Add constraints (NOT NULL, CHECK, FK) to improve data quality",HR_DATA_STEWARD
=== TOP PRIORITY COLUMNS - IMMEDIATE ATTENTION REQUIRED ===,Sales,SalesOrderHeader,CreditCardID,INTEGER,int,68.25,FAIR,CRITICAL_RISK,URGENT,FINANCIAL_DATA,HIGH,"URGENT: Implement encryption, restrict access, enable audit logging","Add constraints (NOT NULL, CHECK, FK) to improve data quality",SALES_DATA_STEWARD
=== TOP PRIORITY COLUMNS - IMMEDIATE ATTENTION REQUIRED ===,Production,Document,FileName,TEXT,nvarchar(800),68.75,FAIR,HIGH_RISK,URGENT,PERSONAL_NAME,MEDIUM,"HIGH PRIORITY: Apply data masking, implement access controls","Add constraints (NOT NULL, CHECK, FK) to improve data quality",OPERATIONS_DATA_STEWARD
=== TOP PRIORITY COLUMNS - IMMEDIATE ATTENTION REQUIRED ===,Sales,SalesOrderHeader,BillToAddressID,INTEGER,int,69.50,FAIR,HIGH_RISK,URGENT,ADDRESS_INFO,HIGH,"HIGH PRIORITY: Apply data masking, implement access controls","Add constraints (NOT NULL, CHECK, FK) to improve data quality",SALES_DATA_STEWARD
=== TOP PRIORITY COLUMNS - IMMEDIATE ATTENTION REQUIRED ===,Sales,SalesOrderHeader,ShipToAddressID,INTEGER,int,69.50,FAIR,HIGH_RISK,URGENT,ADDRESS_INFO,HIGH,"HIGH PRIORITY: Apply data masking, implement access controls","Add constraints (NOT NULL, CHECK, FK) to improve data quality",SALES_DATA_STEWARD
=== TOP PRIORITY COLUMNS - IMMEDIATE ATTENTION REQUIRED ===,Person,Address,AddressID,INTEGER,int,73.00,FAIR,HIGH_RISK,URGENT,ADDRESS_INFO,HIGH,"HIGH PRIORITY: Apply data masking, implement access controls",No immediate improvements required,CUSTOMER_DATA_STEWARD
=== TOP PRIORITY COLUMNS - IMMEDIATE ATTENTION REQUIRED ===,Person,AddressType,AddressTypeID,INTEGER,int,73.00,FAIR,HIGH_RISK,URGENT,ADDRESS_INFO,HIGH,"HIGH PRIORITY: Apply data masking, implement access controls",No immediate improvements required,CUSTOMER_DATA_STEWARD
=== TOP PRIORITY COLUMNS - IMMEDIATE ATTENTION REQUIRED ===,Person,EmailAddress,EmailAddressID,INTEGER,int,73.00,FAIR,HIGH_RISK,URGENT,CONTACT_INFO,HIGH,"HIGH PRIORITY: Apply data masking, implement access controls",No immediate improvements required,CUSTOMER_DATA_STEWARD
=== TOP PRIORITY COLUMNS - IMMEDIATE ATTENTION REQUIRED ===,Person,PhoneNumberType,PhoneNumberTypeID,INTEGER,int,73.00,FAIR,HIGH_RISK,URGENT,CONTACT_INFO,HIGH,"HIGH PRIORITY: Apply data masking, implement access controls",No immediate improvements required,CUSTOMER_DATA_STEWARD
=== TOP PRIORITY COLUMNS - IMMEDIATE ATTENTION REQUIRED ===,Person,BusinessEntityAddress,AddressID,INTEGER,int,74.25,FAIR,HIGH_RISK,URGENT,ADDRESS_INFO,HIGH,"HIGH PRIORITY: Apply data masking, implement access controls",No immediate improvements required,CUSTOMER_DATA_STEWARD
=== TOP PRIORITY COLUMNS - IMMEDIATE ATTENTION REQUIRED ===,Person,BusinessEntityAddress,AddressTypeID,INTEGER,int,74.25,FAIR,HIGH_RISK,URGENT,ADDRESS_INFO,HIGH,"HIGH PRIORITY: Apply data masking, implement access controls",No immediate improvements required,CUSTOMER_DATA_STEWARD
=== TOP PRIORITY COLUMNS - IMMEDIATE ATTENTION REQUIRED ===,Person,PersonPhone,PhoneNumberTypeID,INTEGER,int,74.25,FAIR,HIGH_RISK,URGENT,CONTACT_INFO,HIGH,"HIGH PRIORITY: Apply data masking, implement access controls",No immediate improvements required,CUSTOMER_DATA_STEWARD
=== TOP PRIORITY COLUMNS - IMMEDIATE ATTENTION REQUIRED ===,Sales,CreditCard,CreditCardID,INTEGER,int,74.50,FAIR,CRITICAL_RISK,URGENT,FINANCIAL_DATA,HIGH,"URGENT: Implement encryption, restrict access, enable audit logging",No immediate improvements required,SALES_DATA_STEWARD
=== TOP PRIORITY COLUMNS - IMMEDIATE ATTENTION REQUIRED ===,Sales,PersonCreditCard,CreditCardID,INTEGER,int,75.75,GOOD,CRITICAL_RISK,URGENT,FINANCIAL_DATA,HIGH,"URGENT: Implement encryption, restrict access, enable audit logging",No immediate improvements required,SALES_DATA_STEWARD
=== TOP PRIORITY COLUMNS - IMMEDIATE ATTENTION REQUIRED ===,Person,StateProvince,IsOnlyStateProvinceFlag,OTHER,Flag,43.25,POOR,MEDIUM_RISK,HIGH,ADDRESS_INFO,HIGH,ENHANCE: Add appropriate constraints for data integrity,Consider reviewing data type choice for better alignment with data content,CUSTOMER_DATA_STEWARD
=== TOP PRIORITY COLUMNS - IMMEDIATE ATTENTION REQUIRED ===,dbo,ErrorLog,ErrorState,INTEGER,int,44.25,POOR,MEDIUM_RISK,HIGH,ADDRESS_INFO,STANDARD,ENHANCE: Add appropriate constraints for data integrity,"Add constraints (NOT NULL, CHECK, FK) to improve data quality",GENERAL_DATA_STEWARD
=== TOP PRIORITY COLUMNS - IMMEDIATE ATTENTION REQUIRED ===,dbo,ErrorLog,ErrorMessage,TEXT,nvarchar(8000),48.25,POOR,MEDIUM_RISK,HIGH,DEMOGRAPHIC_DATA,STANDARD,ENHANCE: Add appropriate constraints for data integrity,"Add constraints (NOT NULL, CHECK, FK) to improve data quality",GENERAL_DATA_STEWARD
=== TOP PRIORITY COLUMNS - IMMEDIATE ATTENTION REQUIRED ===,Purchasing,ProductVendor,AverageLeadTime,INTEGER,int,54.00,POOR,MEDIUM_RISK,HIGH,DEMOGRAPHIC_DATA,MEDIUM,ENHANCE: Add appropriate constraints for data integrity,"Add constraints (NOT NULL, CHECK, FK) to improve data quality",GENERAL_DATA_STEWARD
=== TOP PRIORITY COLUMNS - IMMEDIATE ATTENTION REQUIRED ===,HumanResources,Employee,Gender,TEXT,nchar(2),55.25,POOR,MEDIUM_RISK,HIGH,DEMOGRAPHIC_DATA,HIGH,ENHANCE: Add appropriate constraints for data integrity,"Add constraints (NOT NULL, CHECK, FK) to improve data quality",HR_DATA_STEWARD
=== TOP PRIORITY COLUMNS - IMMEDIATE ATTENTION REQUIRED ===,Sales,CurrencyRate,AverageRate,NUMERIC,money,58.25,POOR,MEDIUM_RISK,HIGH,DEMOGRAPHIC_DATA,HIGH,ENHANCE: Add appropriate constraints for data integrity,"Add constraints (NOT NULL, CHECK, FK) to improve data quality",SALES_DATA_STEWARD
=== TOP PRIORITY COLUMNS - IMMEDIATE ATTENTION REQUIRED ===,Person,Address,City,TEXT,nvarchar(60),59.00,POOR,MEDIUM_RISK,HIGH,ADDRESS_INFO,HIGH,,"Add constraints (NOT NULL, CHECK, FK) to improve data quality",CUSTOMER_DATA_STEWARD
=== TOP PRIORITY COLUMNS - IMMEDIATE ATTENTION REQUIRED ===,Person,StateProvince,StateProvinceCode,TEXT,nchar(6),62.75,FAIR,MEDIUM_RISK,HIGH,ADDRESS_INFO,HIGH,,"Add constraints (NOT NULL, CHECK, FK) to improve data quality",CUSTOMER_DATA_STEWARD
=== TOP PRIORITY COLUMNS - IMMEDIATE ATTENTION REQUIRED ===,Person,Address,StateProvinceID,INTEGER,int,71.75,FAIR,MEDIUM_RISK,HIGH,ADDRESS_INFO,HIGH,,No immediate improvements required,CUSTOMER_DATA_STEWARD
=== TOP PRIORITY COLUMNS - IMMEDIATE ATTENTION REQUIRED ===,Person,StateProvince,StateProvinceID,INTEGER,int,73.00,FAIR,MEDIUM_RISK,HIGH,ADDRESS_INFO,HIGH,,No immediate improvements required,CUSTOMER_DATA_STEWARD
=== TOP PRIORITY COLUMNS - IMMEDIATE ATTENTION REQUIRED ===,Sales,SalesTaxRate,StateProvinceID,INTEGER,int,75.75,GOOD,MEDIUM_RISK,HIGH,ADDRESS_INFO,HIGH,,No immediate improvements required,SALES_DATA_STEWARD
=== TOP PRIORITY COLUMNS - IMMEDIATE ATTENTION REQUIRED ===,dbo,DatabaseLog,Schema,OTHER,sysname,35.00,POOR,MINIMAL_RISK,LOW,GENERAL_DATA,STANDARD,ENHANCE: Add appropriate constraints for data integrity,Consider reviewing data type choice for better alignment with data content,GENERAL_DATA_STEWARD
=== TOP PRIORITY COLUMNS - IMMEDIATE ATTENTION REQUIRED ===,dbo,DatabaseLog,Object,OTHER,sysname,35.00,POOR,MINIMAL_RISK,LOW,GENERAL_DATA,STANDARD,ENHANCE: Add appropriate constraints for data integrity,Consider reviewing data type choice for better alignment with data content,GENERAL_DATA_STEWARD
=== TOP PRIORITY COLUMNS - IMMEDIATE ATTENTION REQUIRED ===,dbo,DatabaseLog,DatabaseUser,OTHER,sysname,36.25,POOR,MINIMAL_RISK,LOW,GENERAL_DATA,STANDARD,ENHANCE: Add appropriate constraints for data integrity,Consider reviewing data type choice for better alignment with data content,GENERAL_DATA_STEWARD
=== TOP PRIORITY COLUMNS - IMMEDIATE ATTENTION REQUIRED ===,dbo,DatabaseLog,Event,OTHER,sysname,36.25,POOR,MINIMAL_RISK,LOW,GENERAL_DATA,STANDARD,ENHANCE: Add appropriate constraints for data integrity,Consider reviewing data type choice for better alignment with data content,GENERAL_DATA_STEWARD
=== TOP PRIORITY COLUMNS - IMMEDIATE ATTENTION REQUIRED ===,dbo,DatabaseLog,XmlEvent,STRUCTURED,xml,36.25,POOR,MINIMAL_RISK,LOW,GENERAL_DATA,STANDARD,ENHANCE: Add appropriate constraints for data integrity,Consider reviewing data type choice for better alignment with data content,GENERAL_DATA_STEWARD
=== TOP PRIORITY COLUMNS - IMMEDIATE ATTENTION REQUIRED ===,Production,Illustration,Diagram,STRUCTURED,xml,38.00,POOR,MINIMAL_RISK,LOW,GENERAL_DATA,MEDIUM,ENHANCE: Add appropriate constraints for data integrity,Consider reviewing data type choice for better alignment with data content,OPERATIONS_DATA_STEWARD
=== TOP PRIORITY COLUMNS - IMMEDIATE ATTENTION REQUIRED ===,HumanResources,JobCandidate,Resume,STRUCTURED,xml,39.50,POOR,MINIMAL_RISK,MEDIUM,GENERAL_DATA,HIGH,ENHANCE: Add appropriate constraints for data integrity,Consider reviewing data type choice for better alignment with data content,HR_DATA_STEWARD
=== TOP PRIORITY COLUMNS - IMMEDIATE ATTENTION REQUIRED ===,Person,Address,SpatialLocation,SPATIAL,geography,39.50,POOR,MINIMAL_RISK,MEDIUM,GENERAL_DATA,HIGH,ENHANCE: Add appropriate constraints for data integrity,Consider reviewing data type choice for better alignment with data content,CUSTOMER_DATA_STEWARD
=== TOP PRIORITY COLUMNS - IMMEDIATE ATTENTION REQUIRED ===,Production,ProductModel,Instructions,STRUCTURED,xml,40.50,POOR,MINIMAL_RISK,LOW,GENERAL_DATA,MEDIUM,ENHANCE: Add appropriate constraints for data integrity,Consider reviewing data type choice for better alignment with data content,OPERATIONS_DATA_STEWARD
=== TOP PRIORITY COLUMNS - IMMEDIATE ATTENTION REQUIRED ===,Production,ProductPhoto,ThumbNailPhoto,BINARY,varbinary,40.50,POOR,MINIMAL_RISK,LOW,GENERAL_DATA,MEDIUM,ENHANCE: Add appropriate constraints for data integrity,Consider reviewing data type choice for better alignment with data content,OPERATIONS_DATA_STEWARD
=== TOP PRIORITY COLUMNS - IMMEDIATE ATTENTION REQUIRED ===,Production,ProductPhoto,LargePhoto,BINARY,varbinary,40.50,POOR,MINIMAL_RISK,LOW,GENERAL_DATA,MEDIUM,ENHANCE: Add appropriate constraints for data integrity,Consider reviewing data type choice for better alignment with data content,OPERATIONS_DATA_STEWARD
=== TOP PRIORITY COLUMNS - IMMEDIATE ATTENTION REQUIRED ===,Production,ProductProductPhoto,Primary,OTHER,Flag,41.75,POOR,MINIMAL_RISK,LOW,GENERAL_DATA,MEDIUM,ENHANCE: Add appropriate constraints for data integrity,Consider reviewing data type choice for better alignment with data content,OPERATIONS_DATA_STEWARD
=== TOP PRIORITY COLUMNS - IMMEDIATE ATTENTION REQUIRED ===,Production,ProductModel,CatalogDescription,STRUCTURED,xml,42.00,POOR,MINIMAL_RISK,LOW,GENERAL_DATA,MEDIUM,ENHANCE: Add appropriate constraints for data integrity,Consider reviewing data type choice for better alignment with data content,OPERATIONS_DATA_STEWARD
=== TOP PRIORITY COLUMNS - IMMEDIATE ATTENTION REQUIRED ===,Sales,SalesReason,ReasonType,OTHER,Name,42.25,POOR,MINIMAL_RISK,MEDIUM,GENERAL_DATA,HIGH,ENHANCE: Add appropriate constraints for data integrity,Consider reviewing data type choice for better alignment with data content,SALES_DATA_STEWARD
=== TOP PRIORITY COLUMNS - IMMEDIATE ATTENTION REQUIRED ===,Purchasing,Vendor,ActiveFlag,OTHER,Flag,42.75,POOR,LOW_RISK,LOW,STATUS_CONTROL,MEDIUM,,Consider reviewing data type choice for better alignment with data content,GENERAL_DATA_STEWARD
=== TOP PRIORITY COLUMNS - IMMEDIATE ATTENTION REQUIRED ===,Production,Document,Document,BINARY,varbinary,43.00,POOR,MINIMAL_RISK,LOW,GENERAL_DATA,MEDIUM,ENHANCE: Add appropriate constraints for data integrity,Consider reviewing data type choice for better alignment with data content,OPERATIONS_DATA_STEWARD
=== TOP PRIORITY COLUMNS - IMMEDIATE ATTENTION REQUIRED ===,Sales,SalesOrderHeader,AccountNumber,OTHER,AccountNumber,43.50,POOR,MINIMAL_RISK,MEDIUM,FINANCIAL_DATA,HIGH,ENHANCE: Add appropriate constraints for data integrity,Consider reviewing data type choice for better alignment with data content,SALES_DATA_STEWARD
=== TOP PRIORITY COLUMNS - IMMEDIATE ATTENTION REQUIRED ===,Sales,Store,Demographics,STRUCTURED,xml,43.50,POOR,MINIMAL_RISK,MEDIUM,GENERAL_DATA,HIGH,ENHANCE: Add appropriate constraints for data integrity,Consider reviewing data type choice for better alignment with data content,SALES_DATA_STEWARD
