"report_section","schema_name","table_name","pii_risk_level","data_sensitivity","operational_flag","estimated_rows","size_mb","days_since_last_access","compliance_scope"
HIGH PRIORITY ITEMS FOR IMMEDIATE REVIEW,Sales,SalesReason,NO_PII_DETECTED,MEDIUM - Business Sensitive,"REVIEW - No reads in 180+ days, consider archival",10,0.07,,"SOX, Financial Reporting, PCI-DSS (if payment data)"
HIGH PRIORITY ITEMS FOR IMMEDIATE REVIEW,Sales,ShoppingCartItem,NO_PII_DETECTED,MEDIUM - Business Sensitive,"REVIEW - No reads in 180+ days, consider archival",3,0.07,,"SOX, Financial Reporting, PCI-DSS (if payment data)"
HIGH PRIORITY ITEMS FOR IMMEDIATE REVIEW,Purchasing,ShipMethod,NO_PII_DETECTED,MEDIUM - Operational Data,"REVIEW - No reads in 180+ days, consider archival",5,0.07,,Standard Corporate Governance
HIGH PRIORITY ITEMS FOR IMMEDIATE REVIEW,Production,ProductCategory,NO_PII_DETECTED,MEDIUM - Operational Data,"REVIEW - No reads in 180+ days, consider archival",4,0.07,,Standard Corporate Governance
HIGH PRIORITY ITEMS FOR IMMEDIATE REVIEW,Production,Culture,NO_PII_DETECTED,MEDIUM - Operational Data,"REVIEW - No reads in 180+ days, consider archival",8,0.07,,Standard Corporate Governance
HIGH PRIORITY ITEMS FOR IMMEDIATE REVIEW,Production,ProductModelIllustration,NO_PII_DETECTED,MEDIUM - Operational Data,"REVIEW - No reads in 180+ days, consider archival",7,0.07,,Standard Corporate Governance
HIGH PRIORITY ITEMS FOR IMMEDIATE REVIEW,Production,ProductProductPhoto,NO_PII_DETECTED,MEDIUM - Operational Data,"REVIEW - No reads in 180+ days, consider archival",504,0.07,,Standard Corporate Governance
HIGH PRIORITY ITEMS FOR IMMEDIATE REVIEW,Production,UnitMeasure,NO_PII_DETECTED,MEDIUM - Operational Data,"REVIEW - No reads in 180+ days, consider archival",38,0.07,,Standard Corporate Governance
HIGH PRIORITY ITEMS FOR IMMEDIATE REVIEW,Production,ProductSubcategory,NO_PII_DETECTED,MEDIUM - Operational Data,"REVIEW - No reads in 180+ days, consider archival",37,0.07,,Standard Corporate Governance
HIGH PRIORITY ITEMS FOR IMMEDIATE REVIEW,Production,ProductDocument,NO_PII_DETECTED,MEDIUM - Operational Data,"REVIEW - No reads in 180+ days, consider archival",32,0.07,,Standard Corporate Governance
HIGH PRIORITY ITEMS FOR IMMEDIATE REVIEW,Production,ScrapReason,NO_PII_DETECTED,MEDIUM - Operational Data,"REVIEW - No reads in 180+ days, consider archival",16,0.07,,Standard Corporate Governance
HIGH PRIORITY ITEMS FOR IMMEDIATE REVIEW,Production,Location,NO_PII_DETECTED,MEDIUM - Operational Data,"REVIEW - No reads in 180+ days, consider archival",14,0.07,,Standard Corporate Governance
HIGH PRIORITY ITEMS FOR IMMEDIATE REVIEW,dbo,AWBuildVersion,NO_PII_DETECTED,LOW - Reference Data,"REVIEW - No reads in 180+ days, consider archival",1,0.07,,Standard Corporate Governance
HIGH PRIORITY ITEMS FOR IMMEDIATE REVIEW,dbo,ErrorLog,NO_PII_DETECTED,LOW - Reference Data,REVIEW - Empty table older than 90 days,0,0.00,,Standard Corporate Governance
